Data Import Template
Table:,Storage Location
""
""
Notes:
Please do not change the template headings.
First data column must be blank.
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.
"For updating, you can update only selective columns."
You can only upload upto 5000 records in one go. (may be less in some cases)
""
DocType:,Storage Location,,,,,,,,,,,,,,,,,,,,,~,Storage Location Pallet Log,pallet_log,,,,,,,,,,,,,
Column Labels:,ID,Location Code,Location Type,Warehouse,Barcode / QR Value,Created On,Created By,Location Name,Zone,Enabled,Full,Machine / Aisle,Tray,Cell,Rack Number,Pallet Capacity,Allow Multiple Pallets,Maximum Length (mm),Maximum Width (mm),Maximum Height (mm),Maximum Weight (kg),,ID,Pallet,Event,Occurred At,Created On,Created By,Occurred By,Warehouse,Putaway Record,Stock Entry,Source Operation,Multi-Pallet Allowed,Pallet Capacity At Write,Pallets Present After,Note
,,RZ-DL2,Quarantine,Rejection - EE,RZ-DL2,,,Rejection Zone Rack D Level 2,QC Reject,1,0,RZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-DL3,Quarantine,Rejection - EE,RZ-DL3,,,Rejection Zone Rack D Level 3,QC Reject,1,0,RZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-DL4,Quarantine,Rejection - EE,RZ-DL4,,,Rejection Zone Rack D Level 4,QC Reject,1,0,RZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-DL5,Quarantine,Rejection - EE,RZ-DL5,,,Rejection Zone Rack D Level 5,QC Reject,1,0,RZ,,,D,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-EL1,Quarantine,Rejection - EE,RZ-EL1,,,Rejection Zone Rack E Level 1,QC Reject,1,0,RZ,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-EL2,Quarantine,Rejection - EE,RZ-EL2,,,Rejection Zone Rack E Level 2,QC Reject,1,0,RZ,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-EL3,Quarantine,Rejection - EE,RZ-EL3,,,Rejection Zone Rack E Level 3,QC Reject,1,0,RZ,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-EL5,Quarantine,Rejection - EE,RZ-EL5,,,Rejection Zone Rack E Level 5,QC Reject,1,0,RZ,,,E,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-FL1,Quarantine,Rejection - EE,RZ-FL1,,,Rejection Zone Rack F Level 1,QC Reject,1,0,RZ,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-FL2,Quarantine,Rejection - EE,RZ-FL2,,,Rejection Zone Rack F Level 2,QC Reject,1,0,RZ,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-FL3,Quarantine,Rejection - EE,RZ-FL3,,,Rejection Zone Rack F Level 3,QC Reject,1,0,RZ,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-FL4,Quarantine,Rejection - EE,RZ-FL4,,,Rejection Zone Rack F Level 4,QC Reject,1,0,RZ,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-FL5,Quarantine,Rejection - EE,RZ-FL5,,,Rejection Zone Rack F Level 5,QC Reject,1,0,RZ,,,F,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-HL1,Quarantine,Rejection - EE,RZ-HL1,,,Rejection Zone Rack H Level 1,QC Reject,1,0,RZ,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-HL2,Quarantine,Rejection - EE,RZ-HL2,,,Rejection Zone Rack H Level 2,QC Reject,1,0,RZ,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-HL3,Quarantine,Rejection - EE,RZ-HL3,,,Rejection Zone Rack H Level 3,QC Reject,1,0,RZ,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-HL4,Quarantine,Rejection - EE,RZ-HL4,,,Rejection Zone Rack H Level 4,QC Reject,1,0,RZ,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-HL5,Quarantine,Rejection - EE,RZ-HL5,,,Rejection Zone Rack H Level 5,QC Reject,1,0,RZ,,,H,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-IL1,Quarantine,Rejection - EE,RZ-IL1,,,Rejection Zone Rack I Level 1,QC Reject,1,0,RZ,,,I,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-IL2,Quarantine,Rejection - EE,RZ-IL2,,,Rejection Zone Rack I Level 2,QC Reject,1,0,RZ,,,I,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-IL3,Quarantine,Rejection - EE,RZ-IL3,,,Rejection Zone Rack I Level 3,QC Reject,1,0,RZ,,,I,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-IL4,Quarantine,Rejection - EE,RZ-IL4,,,Rejection Zone Rack I Level 4,QC Reject,1,0,RZ,,,I,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,RZ-IL5,Quarantine,Rejection - EE,RZ-IL5,,,Rejection Zone Rack I Level 5,QC Reject,1,0,RZ,,,I,1,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,1STFLR-A,Floor Area,Stores - EE,1STFLR-A,,,1st Floor Area A,1st Floor,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,1STFLR-B,Floor Area,Stores - EE,1STFLR-B,,,1st Floor Area B,1st Floor,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,1STFLR-C,Floor Area,Stores - EE,1STFLR-C,,,1st Floor Area C,1st Floor,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,1STFLR-D,Floor Area,Stores - EE,1STFLR-D,,,1st Floor Area D,1st Floor,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-GVT,Floor Area,Stores - EE,ZN-GVT,,,GVT Store (cells),GVT Store,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,CUPBOARD-5,Floor Area,Stores - EE,CUPBOARD-5,,,Cupboard 5,Cupboards,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-OUTSIDE,Floor Area,Stores - EE,ZN-OUTSIDE,,,Outside storage,Outside,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-H1,Floor Area,Stores - EE,ZN-H1,,,H1 box storage,H1,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-SNOWMAN-VRN,Floor Area,Snowman - EE,ZN-SNOWMAN-VRN,,,"Snowman Logistics cold store, VRN (customer VRNP000174)",Snowman offsite,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-SCRAP,Floor Area,Obsolete - EE,ZN-SCRAP,,,Scrap / rejection area,Scrap,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,ZN-OBSOLETE,Floor Area,Obsolete - EE,ZN-OBSOLETE,,,Obsolete storage,Obsolete,1,0,,,,,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
